areaCode,year,ProductionValue
BGD,2000,583661
BGD,2001,590372
BGD,2002,599004
BGD,2003,630569
BGD,2004,672025
BGD,2005,716238
BGD,2006,869847
BGD,2007,992642.057548
BGD,2008,1137247.206884
BGD,2009,1257108.884705
BGD,2010,1433063.587456
BGD,2011,1649774.675204
BGD,2012,1854819.700092
BGD,2013,2046420.978943
BGD,2014,2304185.689737
BGD,2015,2537948.927332
BGD,2016,2795049.697768
BGD,2017,3011669.616647
BGD,2018,3293801.75796
BGD,2019,3534431.16956
BGD,2020,3804463.844017
BGD,2021,4106614.076534
BGD,2022,4455312.973039
BGD,2023,4860227
BTN,2000,5289.423369
BTN,2001,5748.565569
BTN,2002,6661.754135
BTN,2003,7066.17825
BTN,2004,7635.068719
BTN,2005,7099.28
BTN,2006,7676.83
BTN,2007,8085.33
BTN,2008,8750.05
BTN,2009,9670.96
BTN,2010,10463.897685
BTN,2011,11856.47508
BTN,2012,13291.848121
BTN,2013,14501.322966
BTN,2014,16893.192338
BTN,2015,17986.896488
BTN,2016,19598.952321
BTN,2017,21819.451338
BTN,2018,23940.810579
BTN,2019,24916.971646
BTN,2020,28596.465327
BTN,2021,32326.302027
BTN,2022,33422.57756
BTN,2023,36667.691406
BRN,2000,113.311679
BRN,2001,121.729417
BRN,2002,122.307641
BRN,2003,149.249533
BRN,2004,160.36841
BRN,2005,160.582234
BRN,2006,137.617478
BRN,2007,136.073665
BRN,2008,138.985955
BRN,2009,151.708516
BRN,2010,137.061534
BRN,2011,133.471398
BRN,2012,155.942361
BRN,2013,155.061507
BRN,2014,186.919444
BRN,2015,196.129189
BRN,2016,189.548245
BRN,2017,181.955315
BRN,2018,186.235156
BRN,2019,181.187496
BRN,2020,201.672515
BRN,2021,236.459253
BRN,2022,252.150902
BRN,2023,267.913849
KHM,2000,5058301.03
KHM,2001,5365367.37
KHM,2002,5223621.46
KHM,2003,5925844.45
KHM,2004,6300676.07
KHM,2005,7909157.73
KHM,2006,8972385.58
KHM,2007,10406315.9
KHM,2008,13745090.15
KHM,2009,14420008.4
KHM,2010,15938294.82
KHM,2011,17993541.66
KHM,2012,18999437.41
KHM,2013,19376281.3
KHM,2014,19469880.7
KHM,2015,19516018.41
KHM,2016,20101402.28
KHM,2017,20985704.59
KHM,2018,21912637.31
KHM,2019,22785967.41
KHM,2020,24033610.76
KHM,2021,25247839.2
KHM,2022,26905198.719083
KHM,2023,28731088
