areaCode,year,Fertilizer
BGD,2000,158.108
IND,2000,103.786
IDN,2000,138.983
LAO,2000,6.52609
MYS,2000,1367.88
MMR,2000,20.7589
NPL,2000,31.017
PAK,2000,95.4414
PHL,2000,145.918
SGP,2000,3005
LKA,2000,269.907
THA,2000,88.3104
VNM,2000,365.645
BGD,2001,174.59
IND,2001,108.182
IDN,2001,147.055
LAO,2001,12.6629
MYS,2001,1289.3
MMR,2001,9.57958
NPL,2001,30.7966
PAK,2001,94.0719
PHL,2001,156.785
SGP,2001,2353
LKA,2001,266.45
THA,2001,94.9415
VNM,2001,286.735
BGD,2002,188.639
BTN,2002,6.94231
BRN,2002,168
KHM,2002,6.93728
IND,2002,100.329
IDN,2002,138.745
LAO,2002,10.7333
MYS,2002,1183.45
MMR,2002,4.2901
NPL,2002,16.6809
PAK,2002,97.7848
PHL,2002,139.34
SGP,2002,101.88
LKA,2002,304.563
THA,2002,100.001
VNM,2002,295.488
BGD,2003,160.267
BTN,2003,6.99363
BRN,2003,51
KHM,2003,5.48375
IND,2003,105.177
IDN,2003,163.767
LAO,2003,3.55432
MYS,2003,1235.83
MMR,2003,10.309
NPL,2003,5.05875
PAK,2003,100.97
PHL,2003,166.996
SGP,2003,128.333
LKA,2003,259.184
THA,2003,126.544
VNM,2003,332.929
BGD,2004,170.671
BTN,2004,7.39873
BRN,2004,75.75
KHM,2004,6.81228
IND,2004,115.272
IDN,2004,180.392
