,areaCode,year,ProcessingValue
47,BGD,2012,249808.744409
48,BGD,2018,718222.475005
49,BGD,2020,854325.083976
221,IND,2008,762307.51622
222,IND,2009,860381.413372
223,IND,2010,1086549.797581
224,IND,2011,1256547.655818
225,IND,2012,1346186.591232
226,IND,2013,1483385.453508
227,IND,2014,1575417.669065
228,IND,2015,1862164.657931
229,IND,2016,2187669.495178
230,IND,2017,2423921.149324
231,IND,2018,2650082.203765
232,IND,2019,2684555.338386
233,IND,2020,2779622.454678
234,IND,2021,3370936.657004
300,LAO,2015,3190534.639209
301,LAO,2016,3337727.463655
302,LAO,2017,3499695.007039
303,MYS,2005,13318.363946
304,MYS,2006,14047.230239
305,MYS,2007,15285.060073
306,MYS,2008,20583.320409
307,MYS,2009,18675.670173
308,MYS,2010,21917.680119
309,MYS,2011,24209.157276
310,MYS,2012,27801.23543
311,MYS,2013,28782.128037
312,MYS,2014,34885.363545
313,MYS,2015,30884.391349
314,MYS,2016,32063.41577
315,MYS,2017,35568.491298
316,MYS,2018,34965.809629
317,MYS,2019,35517.917581
318,MYS,2020,37946.237106
319,MYS,2021,43614.950394
429,PAK,2016,735372.084608
430,PAK,2017,805217.217199
431,PAK,2018,911422.075217
514,SGP,2000,1091.093548
515,SGP,2001,1177.788276
516,SGP,2002,1136.047551
517,SGP,2003,1139.352064
518,SGP,2004,1332.262778
519,SGP,2005,1322.275152
520,SGP,2006,1432.916897
521,SGP,2007,1472.495072
522,SGP,2008,1766.770835
523,SGP,2009,2084.453974
524,SGP,2010,2623.801212
525,SGP,2011,2998.162741
526,SGP,2012,3339.571095
527,SGP,2013,3253.3418
528,SGP,2014,3845.350169
529,SGP,2015,4177.23261
530,SGP,2016,4157.115529
531,SGP,2017,4439.240621
532,SGP,2018,4164.04313
533,SGP,2019,4755.203045
534,SGP,2020,4231.90406
535,SGP,2021,5276.284109
547,LKA,2013,444204.465493
548,LKA,2014,569142.845475
549,LKA,2015,429843.439225
550,LKA,2016,514728.949504
551,LKA,2017,574218.945771
552,LKA,2018,718893.264644
553,LKA,2019,777651.133459
554,LKA,2020,770635.374566
555,LKA,2021,956914.19603
556,THA,2016,756372.443911
557,THA,2017,821267.52633
558,THA,2018,858471.778489
639,BGD,2012,3669.694917
640,BGD,2018,8075.724265
641,BGD,2020,9224.303917
813,IND,2008,16254.46708
814,IND,2009,17546.91678
815,IND,2010,19993.61958
816,IND,2011,22080.272538
817,IND,2012,22362.532668
818,IND,2013,23742.672764
819,IND,2014,24817.967598
820,IND,2015,29027.407875
821,IND,2016,33847.001216
822,IND,2017,36665.838138
823,IND,2018,38561.245828
824,IND,2019,39406.351813
825,IND,2020,40552.650232
826,IND,2021,45035.001393
892,LAO,2015,391.57726
893,LAO,2016,403.878013
894,LAO,2017,421.765467
895,MYS,2005,4150.898992
896,MYS,2006,4281.45854
897,MYS,2007,4546.634867
898,MYS,2008,5670.285079
899,MYS,2009,5219.842709
900,MYS,2010,6042.074974
901,MYS,2011,6370.618862
902,MYS,2012,7227.174886
903,MYS,2013,7473.774805
904,MYS,2014,8835.646447
905,MYS,2015,7907.921974
906,MYS,2016,8255.100118
907,MYS,2017,8823.738589
908,MYS,2018,8756.684833
909,MYS,2019,8881.507353
910,MYS,2020,9479.399081
911,MYS,2021,10383.838331
