,areaCode,year,ProductionValue
360,BGD,2000,583661
361,BGD,2001,590372
362,BGD,2002,599004
363,BGD,2003,630569
364,BGD,2004,672025
365,BGD,2005,716238
366,BGD,2006,869847
367,BGD,2007,992642.057548
368,BGD,2008,1137247.206884
369,BGD,2009,1257108.884705
370,BGD,2010,1433063.587456
371,BGD,2011,1649774.675204
372,BGD,2012,1854819.700092
373,BGD,2013,2046420.978943
374,BGD,2014,2304185.689737
375,BGD,2015,2537948.927332
376,BGD,2016,2795049.697768
377,BGD,2017,3011669.616647
378,BGD,2018,3293801.75796
379,BGD,2019,3534431.16956
380,BGD,2020,3804463.844017
381,BGD,2021,4106614.076534
382,BGD,2022,4455312.973039
383,BGD,2023,4860227
528,BTN,2000,5289.423369
529,BTN,2001,5748.565569
530,BTN,2002,6661.754135
531,BTN,2003,7066.17825
532,BTN,2004,7635.068719
533,BTN,2005,7099.28
534,BTN,2006,7676.83
535,BTN,2007,8085.33
536,BTN,2008,8750.05
537,BTN,2009,9670.96
538,BTN,2010,10463.897685
539,BTN,2011,11856.47508
540,BTN,2012,13291.848121
541,BTN,2013,14501.322966
542,BTN,2014,16893.192338
543,BTN,2015,17986.896488
544,BTN,2016,19598.952321
545,BTN,2017,21819.451338
546,BTN,2018,23940.810579
547,BTN,2019,24916.971646
548,BTN,2020,28596.465327
549,BTN,2021,32326.302027
550,BTN,2022,33422.57756
551,BTN,2023,36667.691406
672,BRN,2000,113.311679
673,BRN,2001,121.729417
674,BRN,2002,122.307641
675,BRN,2003,149.249533
676,BRN,2004,160.36841
677,BRN,2005,160.582234
678,BRN,2006,137.617478
679,BRN,2007,136.073665
680,BRN,2008,138.985955
681,BRN,2009,151.708516
682,BRN,2010,137.061534
683,BRN,2011,133.471398
684,BRN,2012,155.942361
685,BRN,2013,155.061507
686,BRN,2014,186.919444
687,BRN,2015,196.129189
688,BRN,2016,189.548245
689,BRN,2017,181.955315
690,BRN,2018,186.235156
691,BRN,2019,181.187496
692,BRN,2020,201.672515
693,BRN,2021,236.459253
694,BRN,2022,252.150902
695,BRN,2023,267.913849
792,KHM,2000,5058301.03
793,KHM,2001,5365367.37
794,KHM,2002,5223621.46
795,KHM,2003,5925844.45
796,KHM,2004,6300676.07
797,KHM,2005,7909157.73
798,KHM,2006,8972385.58
799,KHM,2007,10406315.9
800,KHM,2008,13745090.15
801,KHM,2009,14420008.4
802,KHM,2010,15938294.82
803,KHM,2011,17993541.66
804,KHM,2012,18999437.41
805,KHM,2013,19376281.3
806,KHM,2014,19469880.7
807,KHM,2015,19516018.41
808,KHM,2016,20101402.28
809,KHM,2017,20985704.59
810,KHM,2018,21912637.31
811,KHM,2019,22785967.41
812,KHM,2020,24033610.76
813,KHM,2021,25247839.2
814,KHM,2022,26905198.719083
815,KHM,2023,28731088
