,areaCode,year,FarmCredit
247,BGD,2002,3178.321934
248,BGD,2003,2942.973463
249,BGD,2004,2974.393198
250,BGD,2005,3069.514169
251,BGD,2006,2675.826762
252,BGD,2007,2413.54964
253,BGD,2008,2510.68258
254,BGD,2009,2643.880214
255,BGD,2010,2794.198196
256,BGD,2011,3271.100803
257,BGD,2012,3213.392664
258,BGD,2013,3296.803356
259,BGD,2014,3524.70497
260,BGD,2015,3778.212713
261,BGD,2016,4130.25207
262,BGD,2017,4323.608872
263,BGD,2018,4762.082962
264,BGD,2019,4957.591367
265,BGD,2020,4861.044882
266,BGD,2021,5184.469024
267,BGD,2022,5827.916712
268,BGD,2023,6122.73632
383,BTN,2001,6.586921
384,BTN,2002,7.142008
385,BTN,2003,7.463065
386,BTN,2004,6.466568
387,BTN,2005,6.480051
388,BTN,2006,6.213952
389,BTN,2007,7.765603
390,BTN,2008,12.564398
391,BTN,2009,15.080762
392,BTN,2010,10.655241
393,BTN,2011,13.788605
394,BTN,2012,20.394189
395,BTN,2013,26.59748
396,BTN,2014,36.919514
397,BTN,2015,54.361563
398,BTN,2016,66.55666
399,BTN,2017,72.02791
400,BTN,2018,79.122159
401,BTN,2019,85.10715
402,BTN,2020,85.779739
403,BTN,2021,79.381617
404,BTN,2022,57.475975
405,BTN,2023,54.87033
556,KHM,2004,24.642651
557,KHM,2005,24.849551
558,KHM,2006,50.976097
559,KHM,2007,98.227114
560,KHM,2008,148.006603
561,KHM,2009,198.247836
562,KHM,2010,239.660505
563,KHM,2011,411.772325
564,KHM,2012,591.808333
565,KHM,2013,741.766174
566,KHM,2014,970.962032
567,KHM,2015,1223.686074
568,KHM,2016,1458.662745
569,KHM,2017,1625.968197
570,KHM,2018,1679.807083
571,KHM,2019,1706.541273
572,KHM,2020,2142.095004
573,KHM,2021,2758.956887
574,KHM,2022,3218.642022
575,KHM,2023,3878.954331
