,areaCode,year,Fertilizer
54,BGD,2000,158.108
112,IND,2000,103.786
113,IDN,2000,138.983
128,LAO,2000,6.52609
136,MYS,2000,1367.88
145,MMR,2000,20.7589
147,NPL,2000,31.017
157,PAK,2000,95.4414
162,PHL,2000,145.918
174,SGP,2000,3005
180,LKA,2000,269.907
190,THA,2000,88.3104
204,VNM,2000,365.645
262,BGD,2001,174.59
320,IND,2001,108.182
321,IDN,2001,147.055
336,LAO,2001,12.6629
344,MYS,2001,1289.3
354,MMR,2001,9.57958
356,NPL,2001,30.7966
366,PAK,2001,94.0719
371,PHL,2001,156.785
383,SGP,2001,2353
389,LKA,2001,266.45
399,THA,2001,94.9415
413,VNM,2001,286.735
477,BGD,2002,188.639
483,BTN,2002,6.94231
487,BRN,2002,168
491,KHM,2002,6.93728
538,IND,2002,100.329
539,IDN,2002,138.745
554,LAO,2002,10.7333
563,MYS,2002,1183.45
575,MMR,2002,4.2901
577,NPL,2002,16.6809
587,PAK,2002,97.7848
592,PHL,2002,139.34
606,SGP,2002,101.88
612,LKA,2002,304.563
622,THA,2002,100.001
638,VNM,2002,295.488
703,BGD,2003,160.267
709,BTN,2003,6.99363
713,BRN,2003,51
717,KHM,2003,5.48375
766,IND,2003,105.177
767,IDN,2003,163.767
782,LAO,2003,3.55432
791,MYS,2003,1235.83
803,MMR,2003,10.309
805,NPL,2003,5.05875
815,PAK,2003,100.97
820,PHL,2003,166.996
835,SGP,2003,128.333
841,LKA,2003,259.184
851,THA,2003,126.544
867,VNM,2003,332.929
932,BGD,2004,170.671
938,BTN,2004,7.39873
942,BRN,2004,75.75
946,KHM,2004,6.81228
993,IND,2004,115.272
994,IDN,2004,180.392
